Timestamp,"Do you want to be consider to win ₦2,000  airtime",Which of the following age groups do you fall into?,What is your marital status? ,What is your highest level of education?,Which one of the following best describes your current employment status?,Which of these range of monthly income do you belong?,Who in your household is responsible for the financial decisions?,"Do you have any dependents? By ‘dependent’, we mean ‘financially dependent’.","In terms of the property you live in, do you?",Where do you live?,What are your short-term financial goals (i.e. over the next two years)? Select all that apply,"Are you involved in informal money handling groups (e.g. informal savings groups, ajo, group lending)?",Have you ever taken out a loan?,Which of the following lending institutions are you aware of?,Which of the following have you taken a loan from?,What are the main reasons that would make you take out a loan?,What loan are you most likely to use for starting a new business?,Which of the following is the single biggest challenge when taking out a loan?,What data will you be willing to give out for credit scoring as part of your loan application process?,What are your biggest barriers to taking a loan?,What are the three most important qualities you look out for in a lender?,What is your preferred channel for taking out a loan?,"When thinking of lenders in Nigeria, which brand comes to mind first?",What are the main avenues you use to decide on which lender to go for?,What is your gender?,Identifier
44779.70617,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,None,Rent the property,Abuja,To generate multiple sources of income,No,No,Commercial Banks,None,To meet a cash gap before next pay day,Formal loan from a commercial bank,High interest rates,"Home address, Guarantor details",The instability of the economy,Speed,Mobile app,Loan apps ,Advertising,Male,zs9ko01
44779.79707,Yes,25 - 34,Single,College education,Full-time employed,"N50,000 - N100,000",My partner plays a small role but it is mostly up to me,Parents,Rent the property,Lagos,To grow my current business,Yes,Yes,Commercial Banks,"Microfinance Banks, Digital Lenders, Informal Lenders (Ajo, Corporative)",To start a new business,Formal loan from a commercial bank,Onboarding process,Work information,Fear of debt,Agent-led onboarding,Mobile app,Non,Advertising,Male,5u30n6u
44780.16033,Yes,50 - 54,Married,College education,Self-employed,"N300,000 - N500,000",Myself only,None,Own the property,South West,"To grow my current business, To increase the number of personal assets I own, To invest more than I am already investing, To generate multiple sources of income, To secure my finances",No,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Digital Lenders,"To meet a cash gap before next pay day, For cash flow","Formal loan from a commercial bank, Digital lenders",High interest rates,"Home address, Salary details, Bank statement, Guarantor details","The instability of the economy, Fear of being embarrassed by the lender","Speed, Interest rates, Convenience and customer service",Mobile app,Digital lender ,"Word of mouth referrals, Advertising, Direct marketing",Male,62mrfmo
44782.73374,Yes,25 - 34,Single,College education,Full-time employed,"N50,000 - N100,000",Myself only,Other dependents (other than those listed above),Rent the property,Lagos,"To have my own business, To be able to invest, To generate multiple sources of income",Yes,Yes,"Commercial Banks, Microfinance Banks","Commercial Banks, Money Lenders","To meet a cash gap before next pay day, To pay for a medical need, To pay for school fees",Formal loan from a commercial bank,"Providing collateral, High interest rates, The risk of getting into debt","Salary details, Bank statement, Guarantor details","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender","Interest rates, Fees and service charge, Security, trust, and discretion",Mobile app,Branch International,Social media,Female,83yd1iv5o5
44779.96212,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,None,Rent the property,South South,To have my own business,No,Yes,"Commercial Banks, Money Lenders, Microfinance Banks",Money Lenders,To meet a cash gap before next pay day,Digital lenders,Getting approval for the loan,Home address,Fear of being embarrassed by the lender,"Interest rates, Fees and service charge",Mobile app,Online app,Direct marketing,Male,wxsemiew80
44779.904,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,None,Live rent-free,Lagos,"To have my own business, To be able to invest, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances",No,Yes,Microfinance Banks,Microfinance Banks,To start a new business,"Micro financing, Digital lenders, Family and friends","High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details",The instability of the economy,"Speed, Interest rates, Security, trust, and discretion",Mobile app,Carbon,Advertising,Male,9ijbbbn
44779.71491,Yes,25 - 34,Married,University education,Full-time employed,"N500,000 - N1,000,000",My partner plays a small role but it is mostly up to me,Children under the age of 18,Rent the property,South South,To invest more than I am already investing,No,Yes,"Commercial Banks, Digital Lenders","Commercial Banks, Digital Lenders",To start a new business,Formal loan from a commercial bank,High interest rates,"Home address, Bank statement, Guarantor details",The instability of the economy,"Speed, Interest rates, Convenience and customer service",Mobile app,Fairmoney ,Advertising,Male,funu2w6
44780.56658,No,55 - 59,Married,Post-graduate education,Full-time employed,"N100,000 - N300,000",My partner plays a small role but it is mostly up to me,Children 18yrs and older,Rent the property,South East,"To have my own business, To invest more than I am already investing, To generate multiple sources of income, Q",No,Yes,"Commercial Banks, Digital Lenders","Commercial Banks, Digital Lenders","To meet a cash gap before next pay day, To expand your current business",Formal loan from a commercial bank,The risk of getting into debt,"Home address, Work information, Salary details, Bank statement, Guarantor details",Fear of being embarrassed by the lender,"Interest rates, Fees and service charge, Longevity in the market",Mobile app,Umbaf ,Social media,Male,ppeqypu
44780.18933,Yes,18 - 24,Single,University education,Full-time employed,"N50,000 - N100,000",My parents make the decision,Parents,Own the property,Lagos,"To have my own business, To pay my fees, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances, To leave Nigeria",Yes,Yes,Digital Lenders,Digital Lenders,"To meet a cash gap before next pay day, To start a new business, For cash flow","Digital lenders, Informal lenders",High interest rates,"Home address, Salary details, Bank statement","Fear of debt, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Interest rates, Convenience and customer service, Security, trust, and discretion",Mobile app,irorun,"Word of mouth referrals, Advertising, Direct marketing, Social media",Male,ckm5ns5
44780.70911,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",My parents make the decision,None,Live with parents or guardian,Lagos,"To be able to invest, To buy my first property, To generate multiple sources of income, To secure my finances",No,Yes,Digital Lenders,Digital Lenders,"To pay for school fees, For cash flow",Digital lenders,"Providing collateral, High interest rates","Work information, Bank statement","The instability of the economy, Fear of not having money to repay the loan","Speed, Digital onboarding and experience, Interest rates, Fees and service charge, Brand of the lender, Convenience and customer service, Longevity in the market, Financial stability, Security, trust, and discretion",Website,Migo,"Direct marketing, Social media",Male,aj9wthq
44779.74246,Yes,18 - 24,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,None,Live rent-free,North Central,To grow my current business,Yes,No,"Microfinance Banks, Digital Lenders",None,To expand your current business,"Micro financing, Family and friends",High interest rates,Bank statement,Fear of debt,"Speed, Interest rates",Branch,Fair money,"Word of mouth referrals, Advertising",Male,hu496duibm
44780.2084,Yes,25 - 34,Married,University education,Full-time employed,"N0 - N50,000",Myself only,Children under the age of 18,Live rent-free,Lagos,"To have my own business, To be able to invest, To pay my fees, To invest more than I am already investing, To generate multiple sources of income",Yes,Yes,Microfinance Banks,Microfinance Banks,"To meet a cash gap before next pay day, To pay for a medical need",Formal loan from a commercial bank,"Onboarding process, High interest rates","Home address, Salary details, Bank statement",I don’t have a barrier,"Speed, Interest rates, Security, trust, and discretion",Mobile app,Carbon ,"Word of mouth referrals, Advertising, Direct marketing",Male,mnenae9
44780.47421,Yes,25 - 34,Single,University education,Self-employed,"N0 - N50,000",Myself only,None,Rent the property,Lagos,To grow my current business,No,No,Commercial Banks,None,To expand your current business,Digital lenders,The risk of getting into debt,Home address,Fear of debt,Interest rates,Branch,irorun,Advertising,Male,krdsk82
44779.83104,Yes,18 - 24,Single,University education,Self-employed,"N100,000 - N300,000",My partner and I make joint decisions,Other dependents (other than those listed above),Own the property,South South,To have my own business,Yes,Yes,Money Lenders,Money Lenders,To pay for a medical need,Digital lenders,"Providing collateral, High interest rates","Home address, Work information, Salary details, Bank statement, Guarantor details","Lack of knowledge, e.g. I don’t know how to, Fear of debt","Speed, Interest rates, Security, trust, and discretion",Mobile app,Irorun,Advertising,Male,u2k8e71
44779.95092,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Other dependents (other than those listed above),Live with parents or guardian,South East,"To grow my current business, To invest more than I am already investing, To generate multiple sources of income",No,No,Commercial Banks,None,To expand your current business,Formal loan from a commercial bank,Getting approval for the loan,Home address,"Lack of the requirements to take out loan, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Interest rates, Fees and service charge",Mobile app,Irorun ,Advertising,Male,i30ml2vg7u
44780.75069,Yes,40 - 44,Married,Secondary education,Self-employed,"N100,000 - N300,000",My partner and I make joint decisions,Children under the age of 18,Own the property,Lagos,"To grow my current business, To invest more than I am already investing",No,Yes,Microfinance Banks,Microfinance Banks,To expand your current business,Formal loan from a commercial bank,High interest rates,"Home address, Guarantor details",Fear of debt,"Speed, Interest rates",Mobile app,Branch ,Social media,Female,bzlm0l1
44781.53504,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,Other dependents (other than those listed above),Rent the property,South South,To generate multiple sources of income,No,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Commercial Banks, Money Lenders, Digital Lenders",To meet a cash gap before next pay day,Family and friends,High interest rates,Salary details,"The instability of the economy, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Interest rates, Fees and service charge, Security, trust, and discretion",Mobile app,Branch,Social media,Male,kicjuzv77i
44783.09666,Yes,25 - 34,Single,University education,Self-employed,"N100,000 - N300,000",Myself only,None,Rent the property,South South,To generate multiple sources of income,No,Yes,Commercial Banks,Commercial Banks,To pay for a medical need,Family and friends,Getting approval for the loan,Home address,I don’t have a barrier,"Security, trust, and discretion",Mobile app,Banks,Authenticity and rating,Male,h9enk90
44779.89639,Yes,25 - 34,Single,University education,Self-employed,"N100,000 - N300,000",My partner and I make joint decisions,Children under the age of 18,Own the property,South South,To increase the number of personal assets I own,Yes,Yes,Digital Lenders,"Informal Lenders (Ajo, Corporative)",To expand your current business,Digital lenders,High interest rates,"Home address, Work information, Salary details, Bank statement, Guarantor details",Fear of being embarrassed by the lender,"Interest rates, Convenience and customer service, Security, trust, and discretion",Mobile app,Carbon ,Advertising,Female,8ta0orbgyn
44784.64296,Yes,25 - 34,Single,University education,Self-employed,"N0 - N50,000",Myself only,Other dependents (other than those listed above),Rent the property,South South,"To have my own business, To be able to invest, To invest more than I am already investing, To generate multiple sources of income",No,Yes,"Commercial Banks, Finance Houses, Microfinance Banks, Digital Lenders",Digital Lenders,"To meet a cash gap before next pay day, To expand your current business, For cash flow",Formal loan from a commercial bank,"High interest rates, Getting approval for the loan","Home address, Work information, Bank statement",Lack of the requirements to take out loan,"Interest rates, Financial stability, Security, trust, and discretion",Mobile app,Online loan,Advertising,Male,nrpn20n
44779.7192,Yes,40 - 44,Married,University education,Full-time employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Own the property,Lagos,To have my own business,No,Yes,Money Lenders,Commercial Banks,To meet a cash gap before next pay day,Micro financing,High interest rates,"Salary details, Bank statement","Fear of debt, The instability of the economy","Speed, Interest rates, Fees and service charge",Website,Interest rates ,Advertising,Male,yzb7630
44779.86032,Yes,25 - 34,Married,University education,Full-time employed,"N50,000 - N100,000",Myself only,Partner/Spouse,Rent the property,South West,To generate multiple sources of income,No,Yes,Commercial Banks,Commercial Banks,To meet a cash gap before next pay day,Micro financing,"High interest rates, Getting approval for the loan","Home address, Work information, Salary details",The instability of the economy,"Speed, Convenience and customer service, Financial stability",Website,Alat by wema,Advertising,Male,v7wamx9
44779.95704,Yes,25 - 34,Married,University education,Full-time employed,"N50,000 - N100,000",Myself only,Children under the age of 18,Own the property,Lagos,"To grow my current business, To be able to invest, To invest more than I am already investing, To generate multiple sources of income",Yes,No,"Informal Lenders (Ajo, Corporative)",None,"To meet a cash gap before next pay day, To expand your current business",Digital lenders,High interest rates,Home address,I don’t have a barrier,"Agent-led onboarding, Convenience and customer service, Security, trust, and discretion",Mobile app,High interest rate,Social media,Male,3bcg42x
44781.33552,Yes,25 - 34,Single,Post-graduate education,Full-time employed,"N0 - N50,000",My partner and I make joint decisions,None,Live with parents or guardian,Lagos,"To have my own business, To pay my fees, To buy my first property, To generate multiple sources of income",No,No,"Commercial Banks, Microfinance Banks, Digital Lenders",None,"To start a new business, For cash flow","Micro financing, Digital lenders, Family and friends","Providing collateral, High interest rates, The risk of getting into debt","Home address, Work information","Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Convenience and customer service, Longevity in the market, Security, trust, and discretion",Mobile app,Fair money,"Advertising, Social media",Female,l9i9exf
44779.79663,Yes,45 - 49,Single,University education,Self-employed,"N100,000 - N300,000",Myself only,None,Own the property,South South,To grow my current business,No,Yes,Digital Lenders,Digital Lenders,To expand your current business,Digital lenders,Getting approval for the loan,Bank statement,Lack of the requirements to take out loan,"Speed, Fees and service charge, Financial assistance and coaching",Mobile app,Irorun,Advertising,Male,mnehpu7
44780.36185,Yes,25 - 34,Single,University education,Self-employed,"N0 - N50,000",Myself only,Parents,Rent the property,South South,To grow my current business,No,Yes,Digital Lenders,Digital Lenders,To meet a cash gap before next pay day,Micro financing,"Providing collateral, High interest rates, The risk of getting into debt","Home address, Bank statement",Lack of the requirements to take out loan,"Speed, Fees and service charge, Financial stability",Mobile app,Branch,Advertising,Male,hhex7qf32g
44781.47055,Yes,18 - 24,Single,College education,Self-employed,"N50,000 - N100,000",Myself only,None,Rent the property,Lagos,To have my own business,No,Yes,Microfinance Banks,None,To expand your current business,Formal loan from a commercial bank,Providing collateral,Bank statement,Fear of being embarrassed by the lender,"Speed, Interest rates, Financial stability",Mobile app,Electronic ,Word of mouth referrals,Male,6guv6yq8c7
44780.37027,Yes,25 - 34,Single,College education,Full-time employed,"N0 - N50,000",Myself only,None,Rent the property,Lagos,To have my own business,Yes,Yes,Microfinance Banks,Microfinance Banks,To meet a cash gap before next pay day,"Micro financing, Digital lenders, Informal lenders","Onboarding process, Providing collateral, High interest rates, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details",I don’t have a barrier,"Speed, Interest rates, Convenience and customer service",Mobile app,"opay, irorun, okash ","Advertising, Social media, Face to face",Male,u6561g9
44780.48625,Yes,18 - 24,Single,University education,Self-employed,"N0 - N50,000",Myself only,Other dependents (other than those listed above),Rent the property,South West,"To have my own business, To grow my current business, To increase the number of personal assets I own, To be able to invest, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances, To leave Nigeria",No,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Digital Lenders, Informal Lenders (Ajo, Corporative)","To meet a cash gap before next pay day, To buy a phone or laptop, To expand your current business, For cash flow","Formal loan from a commercial bank, Micro financing, Family and friends","Providing collateral, High interest rates, Getting approval for the loan","Home address, Salary details, Bank statement, Guarantor details","Fear of debt, The instability of the economy, Lack of the requirements to take out loan, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Interest rates, Brand of the lender, Security, trust, and discretion",Website,Commercial Banks,"Word of mouth referrals, Direct marketing, Social media, Face to face",Male,z6t4x4q
44780.75877,Yes,18 - 24,Single,Secondary education,Student,"N0 - N50,000",Myself only,Parents,Rent the property,South West,"To have my own business, To grow my current business, To increase the number of personal assets I own, To be able to invest, To pay my rent, To pay my fees, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances, To leave Nigeria",Yes,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Digital Lenders, Informal Lenders (Ajo, Corporative)","To meet a cash gap before next pay day, To pay for school fees, To buy a phone or laptop",Digital lenders,"Onboarding process, Providing collateral, High interest rates, The risk of getting into debt","Home address, Work information, Salary details, Bank statement","Fear of debt, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Digital onboarding and experience, Interest rates, Fees and service charge, Brand of the lender, Longevity in the market, Financial stability",Mobile app,Lapo,"Advertising, Direct marketing, Social media",Male,aesmuxhpei
44780.74068,Yes,25 - 34,Married,University education,Full-time employed,"N100,000 - N300,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,Lagos,"To increase the number of personal assets I own, To buy my first property",No,Yes,"Commercial Banks, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Commercial Banks, Finance Houses, Microfinance Banks",To meet a cash gap before next pay day,Formal loan from a commercial bank,"High interest rates, The risk of getting into debt","Home address, Work information, Salary details, Bank statement, Guarantor details","Fear of debt, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Digital onboarding and experience, Interest rates, Fees and service charge, Security, trust, and discretion",Mobile app,Carbon and Page Financial,"Direct marketing, Social media",Female,i4jzc6t
44780.42781,Yes,18 - 24,Single,Secondary education,Student,"N0 - N50,000",My parents make the decision,None,Live with parents or guardian,South East,"To have my own business, To increase the number of personal assets I own, To be able to invest, To generate multiple sources of income, To secure my finances, To leave Nigeria",No,Yes,Digital Lenders,Digital Lenders,To meet a cash gap before next pay day,Formal loan from a commercial bank,Getting approval for the loan,Bank statement,Lack of the requirements to take out loan,"Speed, Digital onboarding and experience, Interest rates, Convenience and customer service, Longevity in the market",Mobile app,Branch wallet,"Word of mouth referrals, Advertising, Social media",Male,yn18lekfwp
44780.34497,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,Parents,Live with parents or guardian,Lagos,"To have my own business, To generate multiple sources of income, To secure my finances, To leave Nigeria",Yes,Yes,Digital Lenders,Digital Lenders,"To meet a cash gap before next pay day, To pay for school fees, For cash flow","Formal loan from a commercial bank, Micro financing, Digital lenders","High interest rates, The risk of getting into debt","Work information, Bank statement","The instability of the economy, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Interest rates, Fees and service charge, Convenience and customer service, Security, trust, and discretion",Agent,None,Advertising,Male,42sgqh8
44783.66953,Yes,25 - 34,Married,College education,Self-employed,"N50,000 - N100,000",Myself only,None,Own the property,Lagos,To have my own business,No,No,Microfinance Banks,None,To start a new business,Micro financing,High interest rates,Guarantor details,I don’t have a barrier,Fees and service charge,Mobile app,Yes,Face to face,Female,fel9aqxgii
44780.704,Yes,55 - 59,Married,University education,Full-time employed,"N300,000 - N500,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,South West,"To increase the number of personal assets I own, To invest more than I am already investing",Yes,Yes,"Informal Lenders (Ajo, Corporative)","Informal Lenders (Ajo, Corporative)",Buying a home,Formal loan from a commercial bank,High interest rates,"Home address, Salary details, Bank statement, Guarantor details",Fear of being embarrassed by the lender,"Interest rates, Longevity in the market, Financial stability",Branch,Cooperative,Face to face,Male,54v7kayc3q
44779.71293,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,None,Rent the property,South West,To grow my current business,No,Yes,Digital Lenders,Digital Lenders,"To meet a cash gap before next pay day, To expand your current business",Digital lenders,Getting approval for the loan,"Home address, Work information, Salary details, Guarantor details",Lack of the requirements to take out loan,"Speed, Digital onboarding and experience, Interest rates, Fees and service charge, Security, trust, and discretion",Mobile app,Fairmoney,Advertising,Male,zxq9gsbahp
44784.77745,Yes,40 - 44,Married,University education,Self-employed,"N100,000 - N300,000",My partner plays a small role but it is mostly up to me,Children under the age of 18,Own the property,North Central,"To grow my current business, To invest more than I am already investing, To generate multiple sources of income",Yes,Yes,"Commercial Banks, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Digital Lenders,"To expand your current business, For cash flow","Digital lenders, Informal lenders","Providing collateral, High interest rates, The risk of getting into debt, Getting approval for the loan","Work information, Salary details","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender","Speed, Interest rates, Fees and service charge, Convenience and customer service, Financial stability",Mobile app,irorun,"Advertising, Direct marketing, Social media",Male,e191588
44781.3375,Yes,18 - 24,Single,University education,Self-employed,"N0 - N50,000",Myself only,None,Live with parents or guardian,South West,"To have my own business, To grow my current business, To increase the number of personal assets I own, To be able to invest",No,Yes,"Commercial Banks, Digital Lenders",Digital Lenders,To meet a cash gap before next pay day,"Formal loan from a commercial bank, Digital lenders","High interest rates, The risk of getting into debt","Home address, Guarantor details","Fear of debt, Fear of being embarrassed by the lender","Interest rates, Security, trust, and discretion",Mobile app,Carbon ,"Social media, Ability to extend loan",Male,a7378nwgej
44781.29932,Yes,18 - 24,Single,University education,Part-time employed,"N0 - N50,000",My partner plays a small role but it is mostly up to me,None,Own the property,Lagos,To have my own business,Yes,No,Money Lenders,None,To pay for school fees,Micro financing,High interest rates,Guarantor details,Fear of debt,Interest rates,Mobile app,Irorun ,Social media,Male,ieu9hd8
44779.70692,No,18 - 24,Single,College education,Full-time employed,"N50,000 - N100,000",Myself only,None,Live rent-free,Lagos,"To have my own business, To be able to invest",No,No,"Commercial Banks, Money Lenders, Microfinance Banks",None,To meet a cash gap before next pay day,"Formal loan from a commercial bank, Digital lenders, Informal lenders",Getting approval for the loan,Guarantor details,"Lack of knowledge, e.g. I don’t know how to, I don’t have a barrier","Speed, Financial stability, Security, trust, and discretion",Mobile app,Irorun lenders,"Word of mouth referrals, Social media, Face to face",Male,v5xzldp
44780.72789,Yes,25 - 34,Married,College education,Full-time employed,"N0 - N50,000",Myself only,None,Own the property,South West,To have my own business,No,Yes,"Informal Lenders (Ajo, Corporative)","Informal Lenders (Ajo, Corporative)",To expand your current business,Family and friends,High interest rates,Guarantor details,Fear of debt,"Speed, Fees and service charge, Financial assistance and coaching",Mobile app,Loan,Advertising,Female,41nyyxw6mn
44781.65154,Yes,25 - 34,Single,University education,Full-time employed,"N0 - N50,000",My parents make the decision,Other dependents (other than those listed above),Live with parents or guardian,North Central,To have my own business,No,No,Commercial Banks,Commercial Banks,"To meet a cash gap before next pay day, To pay for school fees",Formal loan from a commercial bank,Getting approval for the loan,Guarantor details,Fear of debt,Interest rates,Website,Irorun,Advertising,Female,cmf82thn00
44782.43295,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,Other dependents (other than those listed above),Rent the property,Lagos,"To have my own business, To generate multiple sources of income, To secure my finances",No,Yes,"Commercial Banks, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Digital Lenders,"To meet a cash gap before next pay day, To expand your current business","Formal loan from a commercial bank, Micro financing","Providing collateral, High interest rates","Home address, Work information, Salary details, Bank statement, Guarantor details",The instability of the economy,"Speed, Interest rates, Fees and service charge",Mobile app,Irorun,"Advertising, Social media",Male,fe3en2vnwk
44780.75941,Yes,25 - 34,Single,University education,Full-time employed,"N100,000 - N300,000",Myself only,Children under the age of 18,Own the property,South West,To have my own business,No,Yes,Digital Lenders,Digital Lenders,To meet a cash gap before next pay day,Family and friends,Tenure terms,Salary details,"Fear of debt, Fear of being embarrassed by the lender","Interest rates, Convenience and customer service, Longevity in the market, Security, trust, and discretion",Mobile app,First money,Advertising,Male,wkfb5pf
44779.97548,Yes,18 - 24,Single,Secondary education,Student,"N0 - N50,000",Myself only,Parents,Live with parents or guardian,South West,"To have my own business, To invest more than I am already investing",Yes,Yes,Digital Lenders,Digital Lenders,To buy a phone or laptop,Digital lenders,"Onboarding process, The risk of getting into debt",Guarantor details,Fear of debt,Digital onboarding and experience,Mobile app,Irorun,"Word of mouth referrals, Advertising, Direct marketing, Social media, Face to face",Male,kwz6ztd
44783.2729,Yes,25 - 34,Single,College education,Full-time employed,"N0 - N50,000",Myself only,Parents,Live with parents or guardian,Lagos,To have my own business,No,Yes,"Informal Lenders (Ajo, Corporative)","Informal Lenders (Ajo, Corporative)",To start a new business,Formal loan from a commercial bank,High interest rates,Work information,Fear of being embarrassed by the lender,"Interest rates, Fees and service charge, Brand of the lender",Mobile app,Irorun,Advertising,Female,7b82l45
44781.44128,Yes,25 - 34,Married,University education,Self-employed,"N50,000 - N100,000",Myself only,Children under the age of 18,Own the property,Lagos,To grow my current business,No,No,"Informal Lenders (Ajo, Corporative)",None,To expand your current business,Digital lenders,High interest rates,Bank statement,The instability of the economy,Interest rates,Mobile app,Irorun,Advertising,Female,anpwr5f
44779.71987,Yes,18 - 24,Single,University education,Self-employed,"N0 - N50,000",Myself only,None,Rent the property,South West,To grow my current business,No,Yes,Digital Lenders,Digital Lenders,To expand your current business,Formal loan from a commercial bank,High interest rates,Bank statement,Fear of being embarrassed by the lender,Convenience and customer service,Mobile app,Bank,Social media,Female,b9ecgv3
44780.37249,Yes,25 - 34,Married,University education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,South West,"To grow my current business, To be able to invest, To pay my fees, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances, To leave Nigeria",Yes,Yes,"Commercial Banks, Money Lenders, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Digital Lenders,"To pay for school fees, To start a new business, To expand your current business","Micro financing, Digital lenders","Providing collateral, High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Bank statement, Guarantor details","Fear of debt, The instability of the economy, Lack of the requirements to take out loan, Fear of being embarrassed by the lender","Speed, Digital onboarding and experience, Agent-led onboarding, Interest rates, Fees and service charge, Convenience and customer service, Longevity in the market, Security, trust, and discretion, Financial assistance and coaching",Mobile app,"Branch,fair money ","Advertising, Social media",Female,0k9jk3iuiz
44780.72603,Yes,18 - 24,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,Parents,Rent the property,Lagos,To generate multiple sources of income,No,Yes,Microfinance Banks,Digital Lenders,To meet a cash gap before next pay day,Micro financing,Getting approval for the loan,Home address,Fear of debt,Financial assistance and coaching,Website,Website ,Advertising,Male,6e9tsuq
44781.79541,Yes,25 - 34,Single,University education,Full-time employed,"N0 - N50,000",Myself only,None,Rent the property,Lagos,"To have my own business, To grow my current business",Yes,Yes,Microfinance Banks,Microfinance Banks,"To pay for a medical need, To pay for school fees, To start a new business, To expand your current business","Formal loan from a commercial bank, Micro financing",Providing collateral,"Home address, Work information, Guarantor details",Lack of the requirements to take out loan,"Speed, Interest rates, Longevity in the market",Mobile app,Bank,Word of mouth referrals,Male,o7etb2ka3a
44786.42259,Yes,45 - 49,Married,Post-graduate education,Self-employed,"N300,000 - N500,000",My partner plays a small role but it is mostly up to me,Partner/Spouse,Own the property,Lagos,"To grow my current business, To increase the number of personal assets I own, To be able to invest, To pay my rent, To pay my fees, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances",No,Yes,Microfinance Banks,Microfinance Banks,"To expand your current business, For cash flow",Micro financing,"Providing collateral, High interest rates, Getting approval for the loan","Home address, Work information, Guarantor details",I don’t have a barrier,"Speed, Brand of the lender",Mobile app,To repay back loan ,"Word of mouth referrals, Face to face",Male,a6bmmq2
44780.81791,Yes,25 - 34,Married,Secondary education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,Lagos,To grow my current business,No,Yes,Digital Lenders,Digital Lenders,To expand your current business,Digital lenders,"Providing collateral, High interest rates","Home address, Work information, Bank statement",I don’t have a barrier,"Interest rates, Fees and service charge, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Branch,Social media,Female,6mzmv15
44781.07171,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,Parents,Rent the property,Lagos,"To be able to invest, To generate multiple sources of income, To secure my finances",Yes,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Digital Lenders,"To meet a cash gap before next pay day, To pay for a medical need","Micro financing, Family and friends","High interest rates, The risk of getting into debt","Home address, Work information","Fear of debt, Lack of the requirements to take out loan, Fear of being embarrassed by the lender","Interest rates, Fees and service charge, Convenience and customer service, Security, trust, and discretion",Mobile app,Fairmoney,"Word of mouth referrals, Advertising",Male,nbp71qa
